"site number","site location","Cluster","site acronym","date","sample type","MIB (ng/L) ASU","Geosmin  (ng/L) ASU","Beta-cyclocitral (ng/L)","IPMP Recovery (%)","MIB (ng/L) Phoenix","Geosmin  (ng/L) Phoenix","comments"
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","1999-11-16",NA,0,0,NA,NA,2,0,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","1999-11-16",NA,0,0,NA,NA,0,0,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","1999-11-16",NA,0,0,NA,NA,0,0,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","1999-11-16",NA,0,0,NA,NA,2,0,NA
"field_blank","field blank",NA,NA,"1999-11-17","field blank",NA,NA,NA,NA,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"1999-11-17","lab blank",0,0,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","1999-11-17",NA,13.7,0,NA,NA,23,5,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","1999-11-17",NA,8.6,0,NA,NA,22,5,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","1999-11-17",NA,17.9,6.4,NA,NA,19,5,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","1999-11-17",NA,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","1999-11-17",NA,NA,NA,NA,NA,NA,NA,NA
"R18sediment","South Canal at Val Vista WTP","srp","s canal @ val vista","1999-11-17","sediment sample",203,0,NA,NA,NA,NA,"sample from sediments of south canal, not cleaned"
"R18sediment","South Canal at Val Vista WTP","srp","s canal @ val vista","1999-11-17","sediment sample",264,128,NA,NA,NA,NA,"sample from sediments of south canal, not cleaned"
"R19","Val Vista WTP treated water","srp","val vista-treated","1999-11-17",NA,NA,NA,NA,NA,NA,NA,"samples not taken, south canal shut down"
"R19","Val Vista WTP treated water","srp","val vista-treated","1999-11-17",NA,NA,NA,NA,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","1999-11-17",NA,0,0,NA,NA,0,0,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","1999-11-30",NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","1999-12-14",NA,5.8,9.9,NA,NA,8,8,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","1999-12-14",NA,0,0,NA,NA,0,3,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","1999-12-14",NA,0,0,NA,NA,6,2,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","1999-12-14",NA,0,0,NA,NA,9,0,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","1999-12-14",NA,5.8,0,NA,NA,7,0,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","1999-12-14",NA,0,0,NA,NA,5,2,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","1999-12-14",NA,NA,NA,NA,NA,NA,NA,"sample not taken, very turbid"
"R1","CAP canal above Waddell Canal","cap","cap-siphon","1999-12-15",NA,0,8.4,NA,NA,0,4,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","1999-12-15",NA,9.3,0,NA,NA,14,0,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","1999-12-15",NA,9.9,0,NA,NA,14,0,NA
"R3","Waddell Canal","cap","waddell canal","1999-12-15",NA,0,8.1,NA,NA,0,4,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","1999-12-15",NA,0,0,NA,NA,0,0,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","1999-12-15",NA,0,0,NA,NA,0,0,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","1999-12-15",NA,0,0,NA,NA,0,0,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","1999-12-15",NA,0,0,NA,NA,0,0,NA
"field_blank","field blank",NA,NA,"1999-12-16","field blank",NA,NA,NA,NA,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"1999-12-16","lab blank",0,0,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","1999-12-16",NA,7,6.1,NA,NA,15,4,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","1999-12-16",NA,6.1,0,NA,NA,16,5,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","1999-12-16",NA,9.2,8.7,NA,NA,22,7,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","1999-12-16",NA,9.5,9,NA,NA,13,5,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","1999-12-16",NA,NA,NA,NA,NA,NA,NA,"south canal shut down"
"R19","Val Vista WTP treated water","srp","val vista-treated","1999-12-16",NA,NA,NA,NA,NA,NA,NA,"val vista shut down"
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","1999-12-16",NA,0,6.7,NA,NA,NA,NA,"sample not taken for phoenix"
"union hills","union hills wtp impoundment","cap","union hills-impound","1999-12-16","extra sample",0,9.6,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","1999-12-30",NA,NA,NA,NA,NA,NA,NA,NA
"field_blank","field blank",NA,NA,"2000-01-11","field blank",NA,NA,NA,NA,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"2000-01-11","lab blank",0,0,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2000-01-11",NA,2.4,3.6,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2000-01-11",NA,0,0,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2000-01-11",NA,2.5,0,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2000-01-11",NA,NA,NA,NA,NA,NA,NA,"az canal shut down"
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2000-01-11",NA,NA,NA,NA,NA,NA,NA,"az canal shut down"
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2000-01-11",NA,NA,NA,NA,NA,NA,NA,"az canal shut down"
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2000-01-11",NA,NA,NA,NA,NA,NA,NA,"az canal shut down"
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2000-01-11",NA,NA,NA,NA,NA,NA,NA,"az canal shut down"
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2000-01-11",NA,0,0,NA,NA,10,3,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2000-01-11",NA,0,0,NA,NA,11,3,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2000-01-11",NA,0,0,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2000-01-11",NA,0,0,NA,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2000-01-11",NA,0,0,NA,NA,5,3,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2000-01-12",NA,0,0,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2000-01-12",NA,0,0,NA,NA,10,0,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2000-01-12",NA,2.9,0,NA,NA,6,0,NA
"R3","Waddell Canal","cap","waddell canal","2000-01-12",NA,0,0,NA,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2000-01-12",NA,0,0,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2000-01-12",NA,0,0,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2000-01-12",NA,0,0,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2000-01-12",NA,0,0,NA,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2000-01-12",NA,0,0,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2000-01-30",NA,0,0,NA,82,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2000-02-14",NA,0,2.1,NA,110.3,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2000-02-14",NA,0,0,NA,80,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2000-02-14",NA,2.1,0,NA,96.7,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2000-02-14",NA,0,0,NA,92.4,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2000-02-14",NA,0,0,NA,110.4,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2000-02-14",NA,0,0,NA,82.8,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2000-02-14",NA,0,0,NA,89.6,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2000-02-15",NA,0,0,NA,77.1,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2000-02-15",NA,0,0,NA,56.2,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2000-02-15",NA,0,0,NA,72,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2000-02-15",NA,0,0,NA,69.7,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2000-02-15",NA,0,0,NA,93.1,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2000-02-15",NA,0,0,NA,93.1,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2000-02-15",NA,0,0,NA,60.8,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2000-02-15",NA,0,0,NA,113.1,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2000-02-15",NA,0,0,NA,76.5,NA,NA,NA
"field_blank","field blank",NA,NA,"2000-02-16","field blank",NA,NA,NA,NA,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"2000-02-16","lab blank",0,0,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2000-02-16",NA,2.2,0,NA,97.5,15,2,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2000-02-16",NA,NA,NA,NA,NA,NA,NA,"squaw peak wtp off-line, no sample collected"
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2000-02-16",NA,5.6,2.8,NA,107.4,31,6,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2000-02-16",NA,NA,NA,NA,NA,NA,NA,"deer valley wtp off-line, no sample collected"
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2000-02-16",NA,0,0,NA,92.2,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2000-02-16",NA,0,0,NA,70.6,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2000-03-09",NA,0,2.1,NA,103,NA,NA,NA
"field_blank","field blank",NA,NA,"2000-03-15","field blank",NA,NA,NA,NA,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"2000-03-15","lab blank",0,0,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2000-03-15",NA,11.4,4,NA,115,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2000-03-15",NA,7.2,0,NA,105,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2000-03-15",NA,28.9,6.2,NA,101,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2000-03-15",NA,25,5.9,NA,101,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2000-03-15",NA,6.8,0,NA,107,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2000-03-15",NA,6.4,2.4,NA,95,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2000-03-16",NA,0,5.1,NA,107,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2000-03-16",NA,4.4,0,NA,96,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2000-03-16",NA,4.8,0,NA,114,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2000-03-16",NA,3.7,6.6,NA,103,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2000-03-16",NA,2.1,3.4,NA,102,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st","2000-03-16","field duplicate",2.7,4.1,NA,107,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2000-03-16",NA,2.5,2.3,NA,107,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2000-03-16",NA,2.1,0,NA,107,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2000-03-16",NA,0,0,NA,112,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2000-03-16",NA,2.4,0,NA,110,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2000-03-17",NA,6.6,0,NA,104,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2000-03-17",NA,0,0,NA,103,0,5,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2000-03-17",NA,21.5,3.8,NA,100,24,3,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2000-03-17",NA,15.1,0,NA,108,21,6,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2000-03-17",NA,5.7,2.2,NA,100,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2000-03-17",NA,6.1,2.1,NA,114,15,8,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2000-03-17",NA,4.2,0,NA,105,0,0,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2000-03-30",NA,3.2,2,NA,114.3,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2000-04-13",NA,4,4.1,NA,86.5,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2000-04-13",NA,4.6,0,NA,86.8,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2000-04-13",NA,4.5,0,NA,106.5,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2000-04-13",NA,3.4,7.1,NA,104.9,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2000-04-13",NA,5.2,2,NA,105.3,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2000-04-13",NA,2.2,0,NA,100.3,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2000-04-13",NA,2.4,2.3,NA,93.8,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2000-04-13",NA,4.6,4.9,NA,101,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2000-04-14",NA,4.2,0,NA,89,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2000-04-14",NA,0,3.1,NA,93.4,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2000-04-14",NA,6.5,0,NA,76.1,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2000-04-14",NA,4.2,2.3,NA,82.7,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2000-04-14",NA,8.3,6.2,NA,99.2,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2000-04-14",NA,10.1,0,NA,61.9,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi","2000-04-14","field duplicate",6.9,2.4,NA,87.6,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2000-04-14",NA,5.4,0,NA,93.8,NA,NA,NA
"R9Bturbid","Saguaro Lake near inlet","salt","saguaro-hypo","2000-04-14","turbid sample",2.4,0,NA,67.5,NA,NA,"extra sample taken at 40 m in turbid layer"
"field_blank","field blank",NA,NA,"2000-04-15","field blank",0,0,NA,NA,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"2000-04-15","lab blank",0,0,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2000-04-15",NA,4.9,5.4,NA,104.9,7,4,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2000-04-15",NA,NA,NA,NA,NA,NA,NA,"sample not collected; wtp shut down"
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2000-04-15",NA,16.2,8.5,NA,121,18,5,NA
