"site number","site location","Cluster","site acronym","date","sample type","TOC (mg/L)","DOC (mg/L)","UVA (cm-1)","suva (L/mg-m)","peak int","peak int WL","int at 450","int at 460","int at 500","FI (450/500)","docm comments"
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2000-12-14",NA,2.414,2.314,0.0405,1.8,63.74,449.34,63.62,59.9,35.82,1.776102736,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2000-12-14",NA,2.215,2.115,0.0327,1.5,62.02,441.92,61.81,57.89,34.36,1.798894063,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2000-12-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2000-12-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2000-12-28",NA,0.787,0.88,0.0167,1.9,23.82,435.645,22.84,21.7,13.18,1.73292868,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2001-01-16",NA,2.884,2.748,0.0415,1.5,46.43,445.79,45.81,42.1,24.91,1.839020474,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2001-01-16",NA,3.11,3.045,0.0437,1.4,50.42,444.88,49,46.96,27.34,1.792245794,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2001-01-16",NA,3.079,3.006,0.0424,1.4,50.02,447.19,49.16,45.87,26.79,1.835013065,NA
"R3","Waddell Canal","cap","waddell canal","2001-01-16",NA,2.888,2.913,0.0406,1.4,45.77,441.73,45.6,41.29,24.58,1.855166802,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2001-01-16",NA,1.738,1.685,0.0387,2.3,59.05,441.66,58.35,55.94,33.57,1.738159071,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2001-01-17",NA,2.418,2.191,0.0337,1.5,51.72,445.53,50.92,48.21,28.74,1.771746695,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2001-01-17",NA,3.019,2.906,0.0392,1.3,43.91,449.97,43.9,40.15,23.12,1.898788927,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2001-01-17",NA,1.789,2.026,0.0364,1.8,57.03,450.47,56.9,52.69,31.9,1.78369906,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2001-01-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sample not collected due to AZ canal and WTPs shutdown"
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2001-01-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sample not collected due to AZ canal and WTPs shutdown"
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2001-01-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sample not collected due to AZ canal and WTPs shutdown"
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2001-01-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sample not collected due to AZ canal and WTPs shutdown"
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2001-01-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sample not collected due to AZ canal and WTPs shutdown"
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2001-01-17",NA,2.672,2.651,0.059,2.2,81.93,440.94,81.16,76.55,46.29,1.753294448,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2001-01-17",NA,2.653,2.652,0.0581,2.2,83.31,445.42,81.44,76.24,46.41,1.754794225,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2001-01-17",NA,2.509,2.618,0.0602,2.3,84.26,444,82.79,78.32,47.29,1.750687249,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2001-01-17",NA,2.989,2.944,0.0507,1.7,73.5,442.11,72.45,68.31,39.89,1.816244673,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2001-01-17",NA,3.112,3.166,0.0531,1.7,75.3,445.55,74.63,69.64,41,1.820243902,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2001-01-17",NA,3.152,3.134,0.0535,1.7,76.25,443.22,74.5,69.8,41.44,1.797779923,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2001-01-17",NA,3.248,3.556,0.0536,1.5,75.92,443.8,74.69,70.52,41.18,1.813744536,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2001-01-18",NA,1.71,1.882,0.0311,1.7,46.57,447.21,45.81,43.05,26.14,1.752486611,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2001-01-18",NA,1.575,1.758,0.0226,1.3,40.72,444.25,39.52,37.47,21.57,1.832174316,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2001-01-18",NA,2.744,2.849,0.0399,1.4,46.56,445.55,44.79,42.15,24.13,1.856195607,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2001-01-18",NA,2.766,2.839,0.0396,1.4,45.68,443.82,44.8,41.9,24.12,1.857379768,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2001-01-29",NA,0.791,0.77,0.0187,2.4,19.9,450.18,19.9,18.29,11.17,1.781557744,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2001-02-13",NA,2.186,2.092,0.0338,1.6,53.05,447.5,52.97,49.36,29.66,1.785906945,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2001-02-13",NA,2.857,2.679,0.0415,1.5,46.6,442.87,46.24,42.66,24.62,1.878147847,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2001-02-13",NA,2.192,2.015,0.0472,2.3,65.17,444.09,64.73,60.85,36.61,1.768096149,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2001-02-13",NA,2.009,1.934,0.0475,2.5,64.53,445.02,63.86,61.49,36.72,1.739106754,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2001-02-13",NA,1.927,1.829,0.0443,2.4,62.86,449.83,62.85,59.2,35.31,1.779949023,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2001-02-13",NA,2.855,2.89,0.0525,1.8,71.81,444.62,70.75,66.84,38.41,1.841968237,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2001-02-13",NA,3,2.985,0.0535,1.8,72.59,446.37,70.87,66.93,38.96,1.819045175,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2001-02-13",NA,2.966,3.011,0.0536,1.8,70.6,447.85,69.99,65.96,37.95,1.844268775,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2001-02-13",NA,2.996,3.007,0.0542,1.8,71.42,449.55,71.36,66.23,38.08,1.87394958,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2001-02-14",NA,2.716,2.627,0.0409,1.6,46.49,443.52,45.75,42.28,24.78,1.846246973,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2001-02-14",NA,3.071,2.817,0.0425,1.5,46.54,443.27,45.67,43.34,24.63,1.854242793,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2001-02-14",NA,3.15,2.991,0.0442,1.5,49.62,444.6,49.14,45.87,26.64,1.844594595,NA
"R3","Waddell Canal","cap","waddell canal","2001-02-14",NA,2.698,2.664,0.0406,1.5,45.63,442.54,44.99,42.04,24.37,1.846122281,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2001-02-14",NA,2.296,1.992,0.0502,2.5,69,447.02,68.7,64.31,40.14,1.711509716,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2001-02-14",NA,2.249,2.29,0.0553,2.4,70.4,440.69,69.9,67.01,39.19,1.78361827,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2001-02-14",NA,2.256,2.222,0.0549,2.5,73.89,447.59,73.7,69.9,40.65,1.81303813,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2001-02-14",NA,2.265,2.192,0.0549,2.5,71.61,449.41,71.51,68.74,40.34,1.772682201,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2001-02-15",NA,2.013,1.984,0.0503,2.5,63.29,449.84,63.28,59.54,35.05,1.805420827,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2001-02-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2001-02-15",NA,2.026,2.018,0.0525,2.6,63.39,449.16,63.3,59.39,36.16,1.750553097,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2001-02-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2001-02-15",NA,2.131,2.135,0.04,1.9,51.01,445.59,50.2,47.04,28.74,1.746694502,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2001-02-15",NA,1.908,1.942,0.022,1.1,27.9,438.03,26.94,24.52,13.31,2.024042074,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2001-02-15",NA,2.641,2.609,0.041,1.6,45.94,441.65,45.84,42.17,24,1.91,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2001-02-15",NA,2.791,2.678,0.0402,1.5,45.6,439.76,45.15,41.74,24.04,1.8781198,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2001-02-28",NA,2.82,2.574,0.0682,2.6,NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2001-03-01","Rain event",1.434,1.544,0.0322,2.1,NA,NA,NA,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2001-03-13",NA,2.775,2.583,0.0421,1.6,50.93,445.71,49.1,45.6,26.62,1.844477836,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2001-03-13",NA,2.917,2.815,0.0438,1.6,53.77,441.87,53.27,50.41,29.68,1.794811321,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2001-03-13",NA,2.972,2.892,0.0437,1.5,56.08,444.21,55.1,52.31,30.96,1.779715762,NA
"R3","Waddell Canal","cap","waddell canal","2001-03-13",NA,2.659,2.492,0.0408,1.6,49.11,448.65,48.9,45.19,25.6,1.91015625,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2001-03-13",NA,5.157,4.706,0.172,3.7,183.57,447.09,183.12,175.09,110.79,1.652856756,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2001-03-13",NA,2.543,2.283,0.0619,2.7,77.98,448.32,77.41,72.35,42.98,1.801070265,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2001-03-13",NA,2.048,2.066,0.0531,2.6,73.84,445.11,73.43,68.48,41.35,1.775816203,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2001-03-13",NA,2.105,2.018,0.0524,2.6,73.29,443.7,72.78,67.88,40.73,1.786889271,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2001-03-14",NA,2.11,2.006,0.0372,1.9,60.64,446.72,59.43,56,33.08,1.796553809,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2001-03-14",NA,2.639,2.567,0.0414,1.6,47.45,439.68,46.49,43.81,24.62,1.888302193,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2001-03-14",NA,1.538,1.377,0.0355,2.6,52.39,449.86,52.38,48.94,29.07,1.801857585,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2001-03-14",NA,1.981,1.894,0.0387,2,52.56,448.15,51.68,47.45,28.63,1.805099546,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2001-03-14",NA,1.564,1.59,0.038,2.4,52.97,447.91,52.34,48.91,28.87,1.812954624,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2001-03-14",NA,3.052,2.996,0.064,2.1,85.88,440.59,84.2,79.73,47.19,1.78427633,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2001-03-14",NA,3.168,3.102,0.0571,1.8,76.13,443.73,74.91,70.25,41.49,1.8054953,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2001-03-14",NA,3.234,3.019,0.0574,1.9,76.4,441.5,75.43,70.88,41.97,1.797236121,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2001-03-14",NA,3.084,2.989,0.0557,1.9,77.78,443.86,77.2,72.23,42.64,1.810506567,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2001-03-15",NA,1.961,1.89,0.0448,2.4,48.05,450.54,47.99,44.33,26.03,1.843641952,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2001-03-15",NA,1.9,1.798,0.0172,1,11.05,435.69,10.13,8.62,4.44,2.281531532,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2001-03-15",NA,2.131,2.039,0.0427,2.1,48.72,443.95,47.67,45.37,26.51,1.798189363,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2001-03-15",NA,1.805,1.811,0.0184,1,12.4,432.78,11.01,9.43,4.77,2.308176101,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2001-03-15",NA,2.069,2.078,0.0376,1.8,45.26,443.84,44.56,41.91,24.17,1.843607778,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2001-03-15",NA,1.594,1.606,0.0143,0.9,6.42,436.49,5.34,4.32,2.15,2.48372093,NA
"R26","AZ Canal - 19th avenue","srp","az canal @ 19 ave.","2001-03-15",NA,1.993,1.989,0.0455,2.3,48.64,448.58,48.24,44.9,26.77,1.802017183,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2001-03-15",NA,2.677,2.621,0.042,1.6,48.77,444.92,48.14,44.4,26.1,1.844444444,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2001-03-15",NA,2.622,2.608,0.0414,1.6,49.37,445.49,48.15,44.45,25.32,1.901658768,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2001-03-31",NA,1.505,1.715,0.0386,2.3,51,449.32,50.82,47.04,28.66,1.77320307,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2001-04-17",NA,2.831,2.854,0.0421,1.5,47.04,448.36,46.42,41.84,24.54,1.891605542,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2001-04-17",NA,3.445,3.63,0.051,1.4,52.01,447.19,51.5,48.39,28.46,1.809557273,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2001-04-17",NA,2.86,3.704,0.0485,1.3,55.28,448.38,54.73,50.92,30.8,1.776948052,NA
"R3","Waddell Canal","cap","waddell canal","2001-04-17",NA,3.081,3.295,0.043,1.3,44.78,443.19,44.07,40.65,23.56,1.870543294,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2001-04-17",NA,3.035,3.402,0.09,2.6,103,445.94,102.5,96.17,60.7,1.688632619,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2001-04-17",NA,3.046,3.603,0.0833,2.3,92.55,445.51,93.13,87.58,53.86,1.729112514,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2001-04-17",NA,2.107,2.084,0.0582,2.8,72.64,444.92,72.22,68.91,40.46,1.784972813,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2001-04-17",NA,2.033,2.061,0.0545,2.6,71.15,448.36,70.3,66.15,40.08,1.753992016,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2001-04-18",NA,2.22,2.335,0.0471,2,68.43,444.93,67.14,63.53,38.22,1.7566719,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2001-04-18",NA,2.684,2.735,0.043,1.6,45.72,444.79,44.86,41.95,23.91,1.876202426,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2001-04-18",NA,1.874,1.839,0.0494,2.7,66.83,445.75,66.26,62.44,38,1.743684211,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2001-04-18",NA,2.245,1.953,0.0513,2.6,66.02,445.25,65.37,60.65,36.69,1.781684383,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2001-04-18",NA,2.15,1.879,0.0492,2.6,65.76,444.1,64.86,60.95,37.08,1.749190939,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2001-04-18",NA,3.098,3.221,0.061,1.9,78.35,444.95,76.25,72.34,43.05,1.771196283,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2001-04-18",NA,3.48,3.593,0.0608,1.7,85.78,445.34,74.32,69.94,41,1.812682927,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2001-04-18",NA,3.208,3.149,0.0602,1.9,79.54,446,77.82,73.49,43.35,1.795155709,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2001-04-18",NA,3.065,5.442,0.0604,1.1,82.42,447.89,81.35,75.45,44.49,1.828500787,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2001-04-19",NA,2.181,2.17,0.0543,2.5,63.72,446.32,62.15,57.97,35.1,1.770655271,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2001-04-19",NA,2.075,1.71,0.024,1.4,30.89,441.38,30.13,27.13,14.6,2.06369863,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2001-04-19",NA,2.145,2.104,0.0538,2.6,69.07,445.82,68.47,63.67,38.67,1.770623222,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2001-04-19",NA,2.298,2.272,0.0468,2.1,53.01,445.97,52.17,49.06,28.61,1.823488291,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2001-04-19",NA,2.11,1.996,0.0376,1.9,48.35,448.88,47.93,44.15,25.05,1.913373253,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2001-04-19",NA,3.094,2.934,0.0442,1.5,46.49,445.47,45.24,41.31,24.06,1.880299252,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2001-04-19",NA,3.579,3.883,0.0475,1.2,47.99,445.15,46.86,43.81,25.32,1.8507109,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2001-04-28",NA,1.537,1.555,0.0349,2.2,NA,NA,NA,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2001-05-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2001-05-15",NA,4.316,4.057,0.05,1.2,48.15,443,47.43,44.1,25.38,1.87,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2001-05-15",NA,3.999,3.33,0.0444,1.3,64.82,441.36,63.44,58.47,32.1,1.98,NA
"R3","Waddell Canal","cap","waddell canal","2001-05-15",NA,3.745,3.305,0.042,1.3,43.57,444,43.19,40.15,22.7,1.9,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2001-05-15",NA,1.566,1.906,0.0409,2.1,61.31,446.59,60.08,56.26,33.95,1.77,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2001-05-15",NA,3.819,3.999,0.0885,2.2,85.69,445.21,84.97,80.52,46.8,1.82,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2001-05-15",NA,3.259,3.393,0.0888,2.6,97.76,442.79,96.97,91.48,54.93,1.77,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2001-05-15",NA,2.42,3.194,0.0574,1.8,70.93,442.63,69.22,65.02,38.53,1.8,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2001-05-16",NA,3.378,3.51,0.0564,1.6,72.86,442.69,70.71,66.14,38.15,1.85,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2001-05-16",NA,NA,2.987,0.0421,1.4,44.11,439.6,43.23,39.56,21.84,1.98,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2001-05-16",NA,3.256,3.034,0.0547,1.8,32.62,438.62,69.98,65.63,38.14,1.83,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2001-05-16",NA,3.121,3.14,0.0529,1.7,64.37,443.74,63.54,58.57,31.16,2.04,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2001-05-16",NA,3.246,3.444,0.0568,1.6,62.98,445.38,62.04,57.46,32.98,1.88,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2001-05-16",NA,3.836,3.678,0.0588,1.6,65.61,443.06,64.5,60.31,34.24,1.88,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2001-05-16",NA,3.755,3.705,0.0594,1.6,66.55,445.23,64.98,60.63,33.84,1.92,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2001-05-16",NA,3.326,3.175,0.0562,1.8,73.6,444.24,72.2,67.59,39.69,1.82,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2001-05-17",NA,3.177,3.118,0.0551,1.8,60.41,442.67,59.19,54.53,31.51,1.88,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2001-05-17",NA,3.12,2.638,0.025,0.9,32.62,438.62,30.88,28.43,15.33,2.01,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2001-05-17",NA,3.505,3.429,0.0551,1.6,64.29,446.82,63.45,58.79,33.85,1.87,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2001-05-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2001-05-17",NA,3.752,3.851,0.0543,1.4,61.39,443.35,60.73,56.21,32.02,1.9,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2001-05-17",NA,2.93,3.086,0.0393,1.3,57.42,445.96,56.45,52.73,29.36,1.92,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2001-05-17",NA,1.591,2.011,0.035,1.7,45.89,443.25,45,42.05,25.39,1.77,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2001-05-17",NA,3.101,3.145,0.0433,1.4,43.3,444.41,43.32,39.73,22.31,1.94,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2001-05-17",NA,2.981,3.213,0.0425,1.3,43.88,439.58,43.2,39.66,22.09,1.96,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2001-06-12",NA,2.581,2.778,0.0424,1.5,45.86,439.64,44.53,41.32,23.24,1.92,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2001-06-12",NA,3.525,3.988,0.046,1.2,43.09,444.43,41.95,39.66,22.46,1.87,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2001-06-12",NA,2.732,2.847,0.0449,1.6,55.38,448.49,54.65,51.3,30.57,1.79,NA
"R3","Waddell Canal","cap","waddell canal","2001-06-12",NA,2.704,2.695,0.0438,1.6,53.12,442.81,52.24,48.76,28.83,1.81,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2001-06-12",NA,0.814,0.875,0.0299,3.4,49.26,445.11,47.84,44.61,26.39,1.81,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2001-06-12",NA,4.35,3.642,0.0781,2.1,78.47,443.19,78.02,74.16,43.89,1.78,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2001-06-12",NA,2.918,3.025,0.0818,2.7,103,445.43,102.59,96.37,58.6,1.75,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2001-06-12",NA,2.032,1.878,0.0569,3,72.88,443.32,72.33,67.04,39.76,1.82,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2001-06-13",NA,2.858,2.738,0.0525,1.9,63.96,444.61,63.34,58.78,33.92,1.87,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2001-06-13",NA,2.711,2.637,0.0427,1.6,81.58,441.02,77.09,68.03,29.04,2.65,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2001-06-13",NA,2.61,2.709,0.0525,1.9,65.97,443.57,63.91,59.71,34.54,1.85,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2001-06-13",NA,2.62,2.538,0.0514,2,63.81,440.92,62.18,58.21,34.09,1.82,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2001-06-13",NA,1.348,1.204,0.0342,2.8,44.23,448.16,43.96,40.95,24.97,1.76,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2001-06-13",NA,2.913,2.882,0.0524,1.8,65.03,446.65,63.57,59.5,34.68,1.83,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2001-06-13",NA,3.213,3.544,0.0552,1.6,63.03,443.24,61.54,57.64,33.04,1.86,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2001-06-13",NA,3.164,3.224,0.0559,1.7,63.09,441.81,62.06,58.38,33.55,1.85,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2001-06-13",NA,2.926,2.967,0.0651,2.2,68.13,445.3,66.48,62.87,37.12,1.79,NA
"field_blank","field blank",NA,"field","2001-06-14","field blank",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lab_blank","laboratory blank",NA,"lab","2001-06-14","lab blank",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2001-06-14",NA,3.028,3.059,0.0557,1.8,47.11,441.86,45.76,43.32,24.77,1.85,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2001-06-14",NA,2.199,2.15,0.0247,1.1,34.99,440.19,33.09,30.24,15.27,2.17,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2001-06-14",NA,3.152,3.072,0.057,1.9,64.55,442.47,63.92,60.21,34.93,1.83,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2001-06-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2001-06-14",NA,2.599,2.58,0.0475,1.8,54.96,442.11,54.62,50.27,28.9,1.89,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2001-06-14",NA,2.429,2.259,0.0393,1.7,51.33,440.27,49.94,46.19,26.44,1.89,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2001-06-14",NA,0.724,0.773,0.0225,2.9,30.39,442.03,27.94,27.96,17.44,1.6,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2001-06-14",NA,2.928,2.778,0.0442,1.6,46.32,439.97,45.66,41.81,23.89,1.91,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2001-06-14",NA,2.85,2.768,0.0441,1.6,46.03,446.06,45.66,41.67,24.24,1.88,NA
