"site number","site location","Cluster","site acronym","date","sample type","TOC (mg/L)","DOC (mg/L)","UVA (cm-1)","suva (L/mg-m)","peak int","peak int WL","int at 450","int at 460","int at 500","FI (450/500)","docm comments"
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st","2000-06-15","field duplicate",3.194,3.314,0.0417,0.012582981,39.09,438.47,38.02,35.26,20.8,1.827884615,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2000-06-30",NA,1.488,1.484,0.0322,0.021698113,48.37,445.38,47.85,45.95,27.51,1.739367503,NA
"R20ex","Verde River at Tangle","verde","verde abv horseshoe","2000-07-07","extra sample",1.305,1.301,0.035,0.026902383,66.44,448.87,66.25,63.18,40.02,1.655422289,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2000-07-18",NA,3.43,3.209,0.0443,0.013804924,54.51,442.61,53.83,50.42,28.99,1.856847189,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2000-07-18",NA,3.459,3.291,0.0424,0.012883622,40.91,444.11,40.26,37.8,21.35,1.885714286,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2000-07-18",NA,3.367,3.13,0.0435,0.013897764,46.64,446.86,45.85,43.36,25.01,1.833266693,NA
"R3","Waddell Canal","cap","waddell canal","2000-07-18",NA,2.918,2.943,0.0417,0.014169215,53.51,445.81,53.03,49.3,28.6,1.854195804,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2000-07-18",NA,1.469,1.406,0.0326,0.023186344,49.61,445.92,49.13,47.58,28.87,1.70176654,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2000-07-18",NA,1.97,2.016,0.0344,0.017063492,35.84,443.92,35.35,34.04,19.59,1.804492088,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2000-07-18",NA,1.674,1.484,0.0361,0.024326146,61.41,447.95,60.83,57.63,35.1,1.733048433,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2000-07-18",NA,1.562,1.589,0.0356,0.022404028,59.85,445.04,59.32,56.44,33.56,1.767580453,NA
"field_blank","field blank",NA,NA,"2000-07-19","field blank",NA,0.2715,NA,NA,NA,NA,NA,NA,NA,NA,"avg (n =2)"
"lab_blank","laboratory blank",NA,NA,"2000-07-19","lab blank",NA,0.193,NA,NA,NA,NA,NA,NA,NA,NA,"avg (n =8)"
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2000-07-19",NA,3.091,2.811,0.0479,0.017040199,63.68,447.68,63.29,58.63,34.61,1.828662236,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2000-07-19",NA,2.751,2.542,0.0277,0.010896932,32.06,442.08,31.04,28.66,15.3,2.02875817,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2000-07-19",NA,3.039,2.837,0.0493,0.017377511,63.63,441.75,63.16,59.5,35.09,1.799943004,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2000-07-19",NA,2.745,2.621,0.0421,0.016062572,59.37,445.18,58.42,54.83,32.09,1.82050483,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2000-07-19",NA,2.677,2.74,0.0477,0.017408759,68.65,445.98,67.24,63.68,37.8,1.778835979,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2000-07-19",NA,2.577,2.542,0.0405,0.015932337,60.73,445.61,60.27,57.11,33.17,1.817003316,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2000-07-19",NA,2.932,4.082,0.0435,0.010656541,56.75,444.33,55.55,51.88,30.5,1.821311475,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st","2000-07-19","field duplicate",3.029,3.371,0.0441,0.013082171,57.15,445.58,56.86,53.1,30.45,1.867323481,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2000-07-20",NA,2.907,2.808,0.0521,0.018554131,76.32,444.8,75.85,71.58,42.95,1.766006985,NA
