site number,site location,Cluster,site acronym,date,sample type,conductance (uS/cm),chl A (ug/L),phaeophytin (ug/L),phaeophytin chl A (ug/L),chlorophyta (organisms/ml),cyanophyta (organisms/ml),bacillariophyta (organisms/ml),total (organisms/ml),algae comments
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,9/16/1999,NA,1010,2.8,2.4,1.3,7,29,158,194,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,9/16/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,9/16/1999,NA,800,2.6,0,2.7,0,4,61,65,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,9/16/1999,NA,785,0,0,0.7,0,7,15,22,NA
R3,Waddell Canal,cap,waddell canal,9/16/1999,NA,790,0.3,0,0.7,0,8,7,15,NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,9/16/1999,NA,780,0,0,0,7,11,7,25,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,9/29/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,10/12/1999,NA,760,1.2,0,2,0,7,68,75,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,10/12/1999,NA,850,2.3,0.3,2,14,28,94,136,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,10/12/1999,NA,810,2.2,0.3,2,7,58,136,201,NA
R3,Waddell Canal,cap,waddell canal,10/12/1999,NA,770,1.7,0.5,1.3,0,72,78,150,NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,10/12/1999,NA,760,1.1,0,1.3,14,7,100,121,NA
field_blank,field blank,NA,NA,10/13/1999,field blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
lab_blank,laboratory blank,NA,NA,10/13/1999,lab blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,10/13/1999,NA,780,2.8,0,3.3,0,29,158,187,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,10/13/1999,NA,1010,4.8,2.3,3.3,0,50,481,531,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,10/13/1999,NA,1000,4.8,2.3,3.3,0,14,345,359,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,10/13/1999,NA,995,5.9,4.1,3.3,0,14,142,156,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,10/13/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,10/13/1999,NA,995,2.2,0.3,2,0,7,120,127,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,10/13/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,10/13/1999,NA,995,2.8,0.1,2.7,0,28,338,366,NA
R19,Val Vista WTP treated water,srp,val vista-treated,10/13/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,10/14/1999,NA,1180,4,0.9,3.3,7,7,108,122,NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,10/14/1999,NA,425,6,0,6,0,14,86,100,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,10/14/1999,NA,495,5.7,2.5,4,14,21,93,128,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,10/14/1999,NA,490,5.9,1.9,4.7,14,21,107,142,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,10/14/1999,NA,480,5.1,3.9,2.7,43,43,180,266,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,10/14/1999,NA,1120,7.4,1.9,6,36,29,7,72,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,10/14/1999,NA,1150,4.8,1.1,4,35,43,57,135,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,10/14/1999,NA,1180,4.2,1.3,3.3,0,51,86,137,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,10/30/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,11/15/1999,NA,1190,1.5,1.2,0.7,4,4,41,49,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,11/15/1999,NA,730,1.2,0,1.3,0,21,504,525,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,11/15/1999,NA,495,4.6,2.9,2.7,7,7,489,503,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,11/15/1999,NA,495,4.9,3.4,2.7,7,0,483,490,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,11/15/1999,NA,1185,1.7,0.5,1.3,0,76,36,112,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,11/15/1999,NA,1120,10,0.5,9.3,7,36,1000,1043,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,11/15/1999,NA,1125,4.5,2.9,2.7,14,22,438,474,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,11/16/1999,NA,705,2.6,0,3.3,0,36,79,115,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,11/16/1999,NA,745,4.3,0,4.7,4,26,57,87,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,11/16/1999,NA,775,2.1,0,2.7,14,129,309,452,NA
R3,Waddell Canal,cap,waddell canal,11/16/1999,NA,690,1.4,0.1,1.3,0,0,1022,1022,NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,11/16/1999,NA,439,8.6,4.9,5.3,36,72,368,476,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,11/16/1999,NA,432,2,1,1.3,0,58,186,244,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,11/16/1999,NA,439,1.7,1.7,0.7,14,51,360,425,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,11/16/1999,NA,435,1.8,0.5,1.3,28,50,503,581,NA
field_blank,field blank,NA,NA,11/17/1999,field blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
lab_blank,laboratory blank,NA,NA,11/17/1999,lab blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,11/17/1999,NA,500,4.8,4.5,2,0,0,395,395,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,11/17/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,11/17/1999,NA,495,1.1,0,1.3,0,65,474,539,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,11/17/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,11/17/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,south canal shut-down
R19,Val Vista WTP treated water,srp,val vista-treated,11/17/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,11/17/1999,NA,705,0.8,0.3,0.7,29,14,569,612,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,11/30/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,12/14/1999,NA,1233,1.1,0,2,0,4,90,94,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,12/14/1999,NA,795,1.4,0,2,0,4,153,157,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,12/14/1999,NA,503,4,2,2.7,7,14,337,358,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,12/14/1999,NA,520,5.5,7.1,1.3,0,7,295,302,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,12/14/1999,NA,1230,1.1,0,2,0,11,62,73,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,12/14/1999,NA,1225,7.2,7.6,2.7,7,14,301,322,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,12/14/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,12/15/1999,NA,715,0.3,0,0.7,0,4,346,350,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,12/15/1999,NA,755,0,0,1.3,0,4,148,152,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,12/15/1999,NA,745,0.4,0,0.7,21,0,137,158,NA
R3,Waddell Canal,cap,waddell canal,12/15/1999,NA,703,0,0,0,4,0,328,332,NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,12/15/1999,NA,504,15.2,4.8,12,0,14,511,525,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,12/15/1999,NA,417,2.1,1.5,1.3,4,0,91,95,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,12/15/1999,NA,420,4.9,6.1,1.3,0,0,266,266,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,12/15/1999,NA,427,0.2,0.5,0,0,0,171,171,NA
field_blank,field blank,NA,NA,12/16/1999,field blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
lab_blank,laboratory blank,NA,NA,12/16/1999,lab blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,12/16/1999,NA,415,6,3,4,7,58,648,712,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,12/16/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,12/16/1999,NA,420,2.8,1.3,2,0,7,517,524,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,12/16/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,12/16/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,south canal shut-down
R19,Val Vista WTP treated water,srp,val vista-treated,12/16/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,12/16/1999,NA,655,2,1,1.3,0,0,51,51,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,12/30/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
field_blank,field blank,NA,NA,1/11/2000,field blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
lab_blank,laboratory blank,NA,NA,1/11/2000,lab blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,1/11/2000,NA,1145,4.8,2.3,3.3,14,7,474,495,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,1/11/2000,NA,719,1.6,0,2,0,0,229,229,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,1/11/2000,NA,496,4.2,2.5,2.7,0,0,265,265,sample taken on south canal
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,1/11/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,az canal shut-down
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,1/11/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,az canal shut-down
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,1/11/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,1/11/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,az canal shut-down
R17,Deer Valley WTP treated water,srp,deer valley-treated,1/11/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,1/11/2000,NA,593,6.8,3.3,4.7,0,14,258,272,NA
R19,Val Vista WTP treated water,srp,val vista-treated,1/11/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,1/11/2000,NA,1141,1.4,0.1,1.3,14,7,122,143,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,1/11/2000,NA,1104,2.8,1.3,2,4,0,72,76,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,1/11/2000,NA,1102,2.8,0.1,2.7,21,7,108,136,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,1/12/2000,NA,762,2.8,0,3.3,0,0,705,712,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,1/12/2000,NA,790,4.8,0,4.7,7,0,223,230,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,1/12/2000,NA,775,3.4,1.1,2.7,7,7,143,157,NA
R3,Waddell Canal,cap,waddell canal,1/12/2000,NA,728,1.9,0,2,0,7,820,827,NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,1/12/2000,NA,742,1.7,0,2,7,0,1245,1252,NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,1/12/2000,NA,520,7.7,1.3,6.7,7,0,303,310,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,1/12/2000,NA,486,2.8,0.1,2.7,14,7,295,316,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,1/12/2000,NA,499,3.4,3.3,1.3,7,0,417,424,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,1/12/2000,NA,494,4.3,0.2,4,0,7,266,273,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,1/30/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,2/14/2000,NA,1094,2.1,0,2,0,0,19,19,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,2/14/2000,NA,698,11.2,3.5,8.7,0,0,711,711,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2/14/2000,NA,495,2.7,0,2.7,7,0,230,237,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2/14/2000,NA,612,5.8,1.4,4.7,7,0,387,394,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,2/14/2000,NA,1077,1.8,0,2,0,0,0,7,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,2/14/2000,NA,1081,3.5,0,4,7,0,4,11,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,2/14/2000,NA,1079,2.9,1.3,2,4,4,22,30,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,2/15/2000,NA,704,0.9,0,1.3,0,0,87,87,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,2/15/2000,NA,715,0.1,0,1.3,8,0,48,56,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,2/15/2000,NA,732,0.1,0,0.7,0,0,22,22,NA
R3,Waddell Canal,cap,waddell canal,2/15/2000,NA,700,0.9,0,1.3,0,0,130,130,NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,2/15/2000,NA,690,2.6,0,2.7,0,0,331,331,NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,2/15/2000,NA,488,5.5,3.2,3.3,0,0,257,286,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,2/15/2000,NA,483,2.3,0.3,2,12,0,34,46,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,2/15/2000,NA,466,3.4,0,3.3,7,7,37,51,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,2/15/2000,NA,473,2,0,2,0,0,102,102,NA
field_blank,field blank,NA,NA,2/16/2000,field blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
lab_blank,laboratory blank,NA,NA,2/16/2000,lab blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,2/16/2000,NA,619,3.8,1.5,2.7,0,0,273,273,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,2/16/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,2/16/2000,NA,490,1.5,0,2,0,0,309,309,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,2/16/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,2/16/2000,NA,627,10.4,2.1,8.7,0,7,870,877,NA
R19,Val Vista WTP treated water,srp,val vista-treated,2/16/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,3/9/2000,NA,402,0.8,0.3,0.7,NA,NA,NA,NA,NA
field_blank,field blank,NA,NA,3/15/2000,field blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
lab_blank,laboratory blank,NA,NA,3/15/2000,lab blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,3/15/2000,NA,660,9.2,1.3,8,0,0,273,273,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,3/15/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,3/15/2000,NA,655,1.4,0.1,1.3,0,7,186,193,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,3/15/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,3/15/2000,NA,709,2,1,1.3,14,14,188,216,NA
R19,Val Vista WTP treated water,srp,val vista-treated,3/15/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,3/16/2000,NA,740,0.8,0,2,0,0,382,382,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,3/16/2000,NA,760,0.5,0,0.7,0,4,47,51,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,3/16/2000,NA,770,0,0,0.7,11,8,62,81,NA
R3,Waddell Canal,cap,waddell canal,3/16/2000,NA,715,0.3,0,0.7,0,21,215,236,NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,3/16/2000,NA,703,1.1,0,1.3,0,28,208,236,NA
R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st,3/16/2000,field duplicate,702,0.6,0,1.3,NA,NA,NA,NA,NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,3/16/2000,NA,443,9,4.7,6,7,43,164,221,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,3/16/2000,NA,497,2,1,1.3,0,11,15,26,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,3/16/2000,NA,501,1.4,0.1,1.3,8,0,11,19,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,3/16/2000,NA,495,2.2,0.3,2,7,14,266,287,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,3/17/2000,NA,1127,2.2,1.5,1.3,0,7,108,115,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,3/17/2000,NA,712,3.7,0.4,3.3,0,0,271,271,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,3/17/2000,NA,511,6.2,3.5,4,0,58,403,461,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,3/17/2000,NA,652,4.2,1.3,3.3,7,21,166,194,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,3/17/2000,NA,1120,0.5,0,0.7,0,0,8,8,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,3/17/2000,NA,1103,2.5,0.8,2,0,0,0,0,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,3/17/2000,NA,1104,5.5,8.2,0.7,0,0,251,251,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,3/30/2000,NA,402,0.85,0.27,0.67,0,14,143,157,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,4/13/2000,NA,810,0.89,0,1.34,0,11,44,55,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,4/13/2000,NA,857,2.88,0.13,2.67,8,4,44,56,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,4/13/2000,NA,835,2.59,0,2.67,0,0,26,26,NA
R3,Waddell Canal,cap,waddell canal,4/13/2000,NA,790,0.89,0,1.34,0,11,11,22,NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,4/13/2000,NA,495,8.57,3.8,6.01,0,32,55,87,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,4/13/2000,NA,503,4.29,0.2,4.01,40,4,0,44,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,4/13/2000,NA,500,2.29,0.33,2,7,11,11,29,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,4/13/2000,NA,506,1.44,0.07,1.34,0,4,58,62,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,4/14/2000,NA,1199,4.32,0.2,4.01,7,0,374,381,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,4/14/2000,NA,785,0.63,0,1.34,0,8,30,38,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,4/14/2000,NA,1047,1.74,0.53,1.34,0,7,157,164,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,4/14/2000,NA,931,1.74,0.53,1.34,7,0,236,243,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,4/14/2000,NA,1203,2.59,0.8,2,0,0,4,4,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,4/14/2000,NA,1212,1.19,0.73,0.67,0,0,4,4,NA
