"Site Number","Site Location","Cluster","Site Acronym","date","E_coli","Coliform","Coliform_flag","Mycobacterium","Mycobacterium_flag","Comments"
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2016-10-03,38,760,NA,1,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2016-10-03,34,968,NA,0,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2016-10-03,11,1136,NA,2,NA,NA
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2016-10-03,7,1144,NA,1,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2016-10-03,0,1328,NA,3,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2016-10-03,16,752,NA,2,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2016-10-03,22,984,NA,4,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2016-10-03,33,888,NA,3,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2016-10-03,43,922,NA,2,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2016-10-03,10,1200,NA,2,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2016-10-03,28,1168,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2016-10-03,8,1304,NA,2,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2016-10-03,48,1176,NA,1,NA,NA
